Source_Address,Destination_Address,Protocol,Source_Port,Destination_Port,Length
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,82
192.168.1.143,173.194.128.71,ip,none,none,82
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,82
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,82
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,82
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,82
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,83
192.168.1.143,173.194.128.71,ip,none,none,71
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,83
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,67
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,74
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,75
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,74
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,74
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,74
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,75
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,75
192.168.1.143,173.194.128.71,ip,none,none,75
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,74
192.168.1.143,173.194.128.71,ip,none,none,75
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,76
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,76
192.168.1.143,173.194.128.71,ip,none,none,71
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,76
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,76
173.194.128.71,192.168.1.143,ip,none,none,1292
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,78
173.194.128.71,192.168.1.143,ip,none,none,1292
192.168.1.143,173.194.128.71,ip,none,none,78
192.168.1.143,104.26.13.248,ip,none,none,55
192.168.1.143,173.194.128.71,ip,none,none,71
173.194.128.71,192.168.1.143,ip,none,none,1285
